"EDID","Candidate","Party EN","Party FR","Candidate Residence","Candidate Occupation","Votes Obtained","Percentage of Votes Obtained","Majority","Majority Percentage"
10001,"Scott Andrews","Liberal","Libéral","Conception Bay South, N.L./T.-N.-L.","Municipal Councillor",14866,45.28,3324,10.1
10001,"Fabian Manning","Conservative","Conservateur","St. Bride's, N.L./T.-N.-L.","Parliamentarian",11542,35.16,,
10001,"Randy Wayne Dawe","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Clarke's Beach, N.L./T.-N.-L.","Truck Driver",5707,17.38,,
10001,"Dave Aylward","Green Party","Parti Vert","Witless Bay, N.L./T.-N.-L.","Student",714,2.17,,
10002,"Scott Simms","Liberal","Libéral","Bishop's Falls, N.L./T.-N.-L.","Parliamentarian",20089,70.27,15735,55
10002,"Andrew House","Conservative","Conservateur","Gander, N.L./T.-N.-L.","Lawyer",4354,15.23,,
10002,"Jason Holley","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Amherst Cove, N.L./T.-N.-L.","Artist",3577,12.51,,
10002,"Robert Karl O'Connor","Green Party","Parti Vert","St. John's, N.L./T.-N.-L.","Physician",568,1.99,,
10003,"Gerry Byrne","Liberal","Libéral","Corner Brook, N.L./T.-N.-L.","Parliamentarian",17956,68.22,13353,50.7
10003,"Mark Kennedy","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Corner Brook, N.L./T.-N.-L.","Engineering Technician",4603,17.49,,
10003,"Lorne Robinson","Conservative","Conservateur","Pasadena, N.L./T.-N.-L.","Financial Planner",2799,10.63,,
10003,"Wayne Ronald Bennett","NL First Party","NL First Party","Pasadena, N.L./T.-N.-L.","Retired",964,3.66,,
10004,"Todd Russell","Liberal","Libéral","Happy Valley-Goose Bay, N.L./T.-N.-L.","Parliamentarian",5426,70.28,4048,52.4
10004,"Phyllis Artiss","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","St. John's, N.L./T.-N.-L.","Retired University Professor",1378,17.85,,
10004,"Lacey Lewis","Conservative","Conservateur","Ottawa, Ont.","Office Assistant, Supervisor at Shoppers Drug Mart",615,7.97,,
10004,"Nyssa Christine McLeod","Green Party","Parti Vert","Ottawa, Ont.","Administrative Assistant",302,3.91,,
10005,"Judy Foote","Liberal","Libéral","St. John's, N.L./T.-N.-L.","Parliamentarian",12557,53.72,6994,29.9
10005,"Terry White","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Stephenville, N.L./T.-N.-L.","Carpenter",5563,23.8,,
10005,"Herb Davis","Conservative","Conservateur","Gatineau, Que./Qc","Policy Advisor",4791,20.5,,
10005,"Kaitlin Wainwright","Green Party","Parti Vert","Ottawa, Ont.","Student",462,1.98,,
10006,"Jack Harris","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","St. John's, N.L./T.-N.-L.","Lawyer",30881,74.55,25670,62
10006,"Walter Noel","Liberal","Libéral","St. John's, N.L./T.-N.-L.","Economist",5211,12.58,,
10006,"Craig Westcott","Conservative","Conservateur","Conception Bay South, N.L./T.-N.-L.","Journalist, Self-employed",3836,9.26,,
10006,"Shannon John Tobin","PC Party","Parti PC","St. John's, N.L./T.-N.-L.","Student, Entrepreneur",578,1.4,,
10006,"Howard Story","Green Party","Parti Vert","St. John's, N.L./T.-N.-L.","Businessman",570,1.38,,
10006,"Les Coultas","NL First Party","NL First Party","St. John's, N.L./T.-N.-L.","Retail Manager",347,0.84,,
10007,"Siobhan Coady","Liberal","Libéral","St. John's, N.L./T.-N.-L.","Business Executive",14920,43.32,949,2.8
10007,"Ryan Cleary","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","St. John's, N.L./T.-N.-L.","Journalist",13971,40.57,,
10007,"Merv Wiseman","Conservative","Conservateur","North Harbour, N.L./T.-N.-L.","Maritime Search & Rescue Coordinator",4324,12.56,,
10007,"Ted Warren","Green Party","Parti Vert","St. John's, N.L./T.-N.-L.","Retired",643,1.87,,
10007,"Greg Byrne","NL First Party","NL First Party","Kelowna, B.C./C.-B.","Retired",402,1.17,,
10007,"Terry Christopher Butler","Independent","Indépendant","St. John's, N.L./T.-N.-L.","Astrologer",179,0.52,,
11001,"Lawrence MacAulay","Liberal","Libéral","Midgell, P.E.I./Î.-P.-É.","Farmer",10105,52.81,4444,23.2
11001,"Sid McMullin","Conservative","Conservateur","Georgetown, P.E.I./Î.-P.-É.","Human Resource Officer",5661,29.59,,
11001,"Mike Avery","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Millview, P.E.I./Î.-P.-É.","Maintenance Worker #3",1556,8.13,,
11001,"Larry McGuire","Independent","Indépendant","Morell, P.E.I./Î.-P.-É.","Retired Teacher",1101,5.75,,
11001,"Emma Daughton","Green Party","Parti Vert","Mermaid, P.E.I./Î.-P.-É.","Student",710,3.71,,
11002,"Shawn Murphy","Liberal","Libéral","Charlottetown, P.E.I./Î.-P.-É.","Parliamentarian",8893,50.06,3189,18
11002,"Tom DeBlois","Conservative","Conservateur","Charlottetown, P.E.I./Î.-P.-É.","Business Manager",5704,32.11,,
11002,"Brian Pollard","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Charlottetown, P.E.I./Î.-P.-É.","Filmmaker",2187,12.31,,
11002,"Laura M. Bisaillon","Green Party","Parti Vert","Montréal, Que./Qc","Health Researcher",858,4.83,,
11002,"Baird Judson","Christian Heritage Party","Parti de l'Héritage Chrétien","Alexandra, P.E.I./Î.-P.-É.","Retired Professor",124,0.7,,
11003,"Gail Shea","Conservative","Conservateur","Tignish, P.E.I./Î.-P.-É.","Former Civil Servant",8110,43.93,55,0.3
11003,"Keith Milligan","Liberal","Libéral","Tyne Valley, P.E.I./Î.-P.-É.","Teacher, Former Public Servant",8055,43.63,,
11003,"Orville Lewis","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Woodstock, P.E.I./Î.-P.-É.","Farmer",1670,9.05,,
11003,"Rebecca Ridlington","Green Party","Parti Vert","Summerside, P.E.I./Î.-P.-É.","Supply Teacher Western School Board",626,3.39,,
11004,"Wayne Easter","Liberal","Libéral","North Wiltshire, P.E.I./Î.-P.-É.","Farmer",8312,44.19,924,4.9
11004,"Mary Crane","Conservative","Conservateur","Kensington, P.E.I./Î.-P.-É.","Educator",7388,39.28,,
11004,"J'Nan Brown","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Clyde River, P.E.I./Î.-P.-É.","Retired",1819,9.67,,
11004,"Peter Bevan-Baker","Green Party","Parti Vert","Hampton, P.E.I./Î.-P.-É.","Dentist",1291,6.86,,
12001,"Rodger Cuzner","Liberal","Libéral","Glace Bay, N.S./N.-É.","Parliamentarian",17447,48.1,8923,24.6
12001,"Allan Richard Murphy","Conservative","Conservateur","Antigonish, N.S./N.-É.","Newspaper Publisher",8524,23.5,,
12001,"Mark MacNeill","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Inverness, N.S./N.-É.","Government and Business Policy Advisor",7660,21.12,,
12001,"Dwayne MacEachern","Green Party","Parti Vert","Judique, N.S./N.-É.","Community Development Officer",2641,7.28,,
12002,"Peter Gordon MacKay","Conservative","Conservateur","New Glasgow, N.S./N.-É.","Lawyer",18240,46.6,5620,14.4
12002,"Elizabeth May","Green Party","Parti Vert","New Glasgow, N.S./N.-É.","Leader of Political Party",12620,32.24,,
12002,"Mary Louise Lorefice","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Antigonish, N.S./N.-É.","retired educator",7659,19.57,,
12002,"Michael Harris MacKay","Christian Heritage Party","Parti de l'Héritage Chrétien","West River Station, N.S./N.-É.","Retail",427,1.09,,
12002,"Paul Kemp","CAP","PAC","Scotsburn, N.S./N.-É.","Web Master",196,0.5,,
12007,"Bill Casey","Independent","Indépendant","Amherst, N.S./N.-É.","Business person",27303,69.01,22429,56.7
12007,"Karen Olsson","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","North River, N.S./N.-É.","Stay-at-home Mother",4874,12.32,,
12007,"Joel E. Bernard","Conservative","Conservateur","Orléans, Ont.","Senior Policy Advisor Public Safety",3493,8.83,,
12007,"Tracy Parsons","Liberal","Libéral","Bible Hill, N.S./N.-É.","V.P. Sales",3344,8.45,,
12007,"Rick Simpson","Independent","Indépendant","Springhill, N.S./N.-É.","Retired",550,1.39,,
12003,"Michael John Savage","Liberal","Libéral","Dartmouth, N.S./N.-É.","Parliamentarian",16016,39.49,3223,7.9
12003,"Brad Pye","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Ottawa, Ont.","Senior Political Party Program Officer",12793,31.55,,
12003,"Wanda Webber","Conservative","Conservateur","Dartmouth, N.S./N.-É.","Teacher",9109,22.46,,
12003,"Paul Shreenan","Green Party","Parti Vert","Dartmouth, N.S./N.-É.","Teacher",2417,5.96,,
12003,"George Campbell","Christian Heritage Party","Parti de l'Héritage Chrétien","Dartmouth, N.S./N.-É.","Church Minister",219,0.54,,
12004,"Megan Leslie","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Halifax, N.S./N.-É.","Community Legal Worker",19252,42.69,6794,15.1
12004,"Catherine Meade","Liberal","Libéral","Halifax, N.S./N.-É.","Lawyer",12458,27.62,,
12004,"Ted Larsen","Conservative","Conservateur","Halifax, N.S./N.-É.","Businessman",9295,20.61,,
12004,"Darryl Whetter","Green Party","Parti Vert","Halifax, N.S./N.-É.","Professor",3931,8.72,,
12004,"Tony Seed","Marxist-Leninist","Marxiste-Léniniste","Halifax, N.S./N.-É.","Editor, publisher",162,0.36,,
12005,"Geoff Regan","Liberal","Libéral","Bedford, N.S./N.-É.","Lawyer",17129,41.56,4928,12
12005,"Tamara Lorincz","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Halifax, N.S./N.-É.","Director Nova Scotia Environmental Network (NSEN)",12201,29.6,,
12005,"Rakesh Khosla","Conservative","Conservateur","Halifax, N.S./N.-É.","Life Insurance Broker",8708,21.13,,
12005,"Michael Munday","Green Party","Parti Vert","Hatchet Lake, N.S./N.-É.","Professional Quantity Surveyor",2920,7.08,,
12005,"Trevor Ennis","Christian Heritage Party","Parti de l'Héritage Chrétien","Halifax, N.S./N.-É.","Swimming Pool Sales Agent",257,0.62,,
12006,"Scott Brison","Liberal","Libéral","Cheverie, N.S./N.-É.","Parliamentarian",16641,44.19,6795,18
12006,"Rosemary Segado","Conservative","Conservateur","Wolfville, N.S./N.-É.","Property Manager, Owner",9846,26.15,,
12006,"Carol E. Harris","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Wolfville, N.S./N.-É.","Educator",8291,22.02,,
12006,"Brendan MacNeill","Green Party","Parti Vert","Wolfville, N.S./N.-É.","Student",2353,6.25,,
12006,"Jim Hnatiuk","Christian Heritage Party","Parti de l'Héritage Chrétien","Enfield, N.S./N.-É.","Combat Systems Technician",528,1.4,,
12008,"Peter Stoffer","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Windsor Junction, N.S./N.-É.","Parliamentarian",24279,61.42,16081,40.7
