"ID","Name EN","Name FR","Province"
10001,"Avalon","Avalon","Newfoundland and Labrador"
10002,"Bonavista—Gander—Grand Falls—Windsor","Bonavista—Gander—Grand Falls—Windsor","Newfoundland and Labrador"
10003,"Humber—St. Barbe—Baie Verte","Humber—St. Barbe—Baie Verte","Newfoundland and Labrador"
10004,"Labrador","Labrador","Newfoundland and Labrador"
10005,"Random—Burin—St. George's","Random—Burin—St. George's","Newfoundland and Labrador"
10006,"St. John's East","St. John's-Est","Newfoundland and Labrador"
10007,"St. John's South—Mount Pearl","St. John's-Sud—Mount Pearl","Newfoundland and Labrador"
11001,"Cardigan","Cardigan","Prince Edward Island"
11002,"Charlottetown","Charlottetown","Prince Edward Island"
11003,"Egmont","Egmont","Prince Edward Island"
11004,"Malpeque","Malpeque","Prince Edward Island"
12001,"Cape Breton—Canso","Cape Breton—Canso","Nova Scotia"
12002,"Central Nova","Nova-Centre","Nova Scotia"
12007,"Cumberland—Colchester—Musquodoboit Valley","Cumberland—Colchester—Musquodoboit Valley","Nova Scotia"
12003,"Dartmouth—Cole Harbour","Dartmouth—Cole Harbour","Nova Scotia"
12004,"Halifax","Halifax","Nova Scotia"
12005,"Halifax West","Halifax-Ouest","Nova Scotia"
12006,"Kings—Hants","Kings—Hants","Nova Scotia"
12008,"Sackville—Eastern Shore","Sackville—Eastern Shore","Nova Scotia"
12009,"South Shore—St. Margaret's","South Shore—St. Margaret's","Nova Scotia"
12010,"Sydney—Victoria","Sydney—Victoria","Nova Scotia"
12011,"West Nova","Nova-Ouest","Nova Scotia"
13001,"Acadie—Bathurst","Acadie—Bathurst","New Brunswick"
13002,"Beauséjour","Beauséjour","New Brunswick"
13003,"Fredericton","Fredericton","New Brunswick"
13004,"Fundy Royal","Fundy Royal","New Brunswick"
13005,"Madawaska—Restigouche","Madawaska—Restigouche","New Brunswick"
13006,"Miramichi","Miramichi","New Brunswick"
13007,"Moncton—Riverview—Dieppe","Moncton—Riverview—Dieppe","New Brunswick"
13008,"New Brunswick Southwest","Nouveau-Brunswick-Sud-Ouest","New Brunswick"
13009,"Saint John","Saint John","New Brunswick"
13010,"Tobique—Mactaquac","Tobique—Mactaquac","New Brunswick"
24046,"Abitibi—Baie-James—Nunavik—Eeyou","Abitibi—Baie-James—Nunavik—Eeyou","Quebec"
24001,"Abitibi—Témiscamingue","Abitibi—Témiscamingue","Quebec"
24002,"Ahuntsic","Ahuntsic","Quebec"
24003,"Alfred-Pellan","Alfred-Pellan","Quebec"
24004,"Argenteuil—Papineau—Mirabel","Argenteuil—Papineau—Mirabel","Quebec"
24054,"Bas-Richelieu—Nicolet—Bécancour","Bas-Richelieu—Nicolet—Bécancour","Quebec"
24005,"Beauce","Beauce","Quebec"
24006,"Beauharnois—Salaberry","Beauharnois—Salaberry","Quebec"
24007,"Beauport—Limoilou","Beauport—Limoilou","Quebec"
24008,"Berthier—Maskinongé","Berthier—Maskinongé","Quebec"
24009,"Bourassa","Bourassa","Quebec"
24010,"Brome—Missisquoi","Brome—Missisquoi","Quebec"
24011,"Brossard—La Prairie","Brossard—La Prairie","Quebec"
24012,"Chambly—Borduas","Chambly—Borduas","Quebec"
24013,"Charlesbourg—Haute-Saint-Charles","Charlesbourg—Haute-Saint-Charles","Quebec"
24015,"Châteauguay—Saint-Constant","Châteauguay—Saint-Constant","Quebec"
24016,"Chicoutimi—Le Fjord","Chicoutimi—Le Fjord","Quebec"
24017,"Compton—Stanstead","Compton—Stanstead","Quebec"
24018,"Drummond","Drummond","Quebec"
24019,"Gaspésie—Îles-de-la-Madeleine","Gaspésie—Îles-de-la-Madeleine","Quebec"
24020,"Gatineau","Gatineau","Quebec"
24041,"Haute-Gaspésie—La Mitis—Matane—Matapédia","Haute-Gaspésie—La Mitis—Matane—Matapédia","Quebec"
24021,"Hochelaga","Hochelaga","Quebec"
24022,"Honoré-Mercier","Honoré-Mercier","Quebec"
